NO_OF_FRAMES	2516
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:43:11.835	705197.54193160
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
3534	35.33000	547.323	2193.400	205.408	618.187	2119.275	192.721	625.285	2193.256	191.383	567.853	2102.696	207.191	602.800	2158.894	233.114	10.512	374.924	48.824	574.422	10.242	48.686	209.457	10.259	48.905	9.878	9.840	48.857
3535	35.34000	547.267	2193.383	205.390	618.231	2119.302	192.809	625.294	2193.265	191.434	567.859	2102.632	207.203	602.768	2158.891	233.154	10.542	374.935	48.779	574.474	10.254	48.776	209.472	10.303	48.880	9.911	9.861	48.871
3536	35.35000	547.278	2193.404	205.421	618.185	2119.322	192.898	625.286	2193.344	191.468	567.829	2102.621	207.173	602.767	2158.924	233.130	10.517	374.914	48.762	574.447	10.270	48.715	209.502	10.329	48.943	9.879	9.836	48.847
3537	35.36000	547.296	2193.430	205.484	618.268	2119.339	192.788	625.308	2193.322	191.467	567.847	2102.653	207.156	602.814	2158.905	233.153	10.544	374.947	48.830	574.445	10.294	48.730	209.490	10.340	48.885	9.878	9.864	48.860
3538	35.37000	547.280	2193.433	205.446	618.310	2119.360	192.808	625.285	2193.319	191.422	567.892	2102.652	207.147	602.788	2158.885	233.068	10.520	374.886	48.780	574.336	10.284	48.709	209.490	10.347	48.881	9.849	9.819	48.832
3539	35.38000	547.264	2193.423	205.430	618.277	2119.347	192.805	625.305	2193.340	191.460	567.875	2102.638	207.115	602.798	2158.927	233.118	10.502	374.901	48.777	574.407	10.301	48.717	209.467	10.331	48.955	9.868	9.831	48.846
3540	35.39000	547.269	2193.394	205.476	618.279	2119.360	192.869	625.288	2193.363	191.449	567.889	2102.645	207.197	602.788	2158.902	233.134	10.514	374.911	48.776	574.443	10.297	48.730	209.482	10.365	48.896	9.865	9.881	48.824
3541	35.40000	547.275	2193.416	205.462	618.255	2119.339	192.870	625.299	2193.325	191.417	567.887	2102.682	207.193	602.781	2158.893	233.125	10.515	374.896	48.761	574.457	10.297	48.743	209.448	10.372	48.969	9.884	9.854	48.876
3542	35.41000	547.238	2193.408	205.407	618.229	2119.347	192.819	625.280	2193.342	191.484	567.867	2102.598	207.155	602.805	2158.894	233.140	10.549	374.908	48.769	574.452	10.286	48.720	209.496	10.349	48.921	9.867	9.833	48.847
3543	35.42000	547.228	2193.383	205.410	618.221	2119.319	192.822	625.293	2193.310	191.451	567.872	2102.610	207.202	602.783	2158.909	233.144	10.537	374.898	48.751	574.453	10.299	48.737	209.474	10.315	48.935	9.895	9.837	48.859
3544	35.43000	547.229	2193.392	205.412	618.198	2119.328	192.790	625.293	2193.346	191.469	567.870	2102.614	207.174	602.660	2158.879	233.084	10.482	374.895	48.727	574.417	10.279	48.690	209.454	10.339	48.890	9.873	9.856	48.848
3545	35.44000	547.261	2193.376	205.381	618.256	2119.327	192.815	625.296	2193.318	191.423	567.868	2102.615	207.158	602.747	2158.881	233.119	10.518	374.874	48.699	574.402	10.298	48.688	209.425	10.326	48.893	9.876	9.872	48.834
3546	35.45000	547.235	2193.386	205.419	618.272	2119.351	192.821	625.319	2193.339	191.492	567.833	2102.630	207.137	602.799	2158.937	233.148	10.506	374.921	48.695	574.451	10.281	48.700	209.471	10.352	48.899	9.855	9.881	48.848
3547	35.46000	547.285	2193.432	205.481	618.250	2119.329	192.868	625.274	2193.319	191.461	567.873	2102.676	207.237	602.773	2158.943	233.181	10.517	374.904	48.774	574.450	10.296	48.719	209.453	10.336	48.928	9.863	9.857	48.823
3548	35.47000	547.291	2193.449	205.510	618.242	2119.341	192.866	625.306	2193.349	191.486	567.812	2102.680	207.242	602.759	2158.923	233.151	10.529	374.874	48.824	574.454	10.317	48.741	209.482	10.368	48.932	9.874	9.877	48.866
3549	35.48000	547.285	2193.443	205.481	618.249	2119.386	193.048	625.300	2193.349	191.475	567.846	2102.652	207.248	602.745	2158.900	233.198	10.530	374.917	48.853	574.439	10.303	48.753	209.443	10.344	48.947	9.879	9.887	48.868
3550	35.49000	547.293	2193.448	205.501	618.201	2119.338	192.881	625.319	2193.327	191.506	567.848	2102.684	207.255	602.787	2158.941	233.159	10.519	374.871	48.794	574.434	10.287	48.720	209.481	10.321	48.944	9.882	9.841	48.854
3551	35.50000	547.249	2193.473	205.436	618.204	2119.340	192.865	625.297	2193.351	191.462	567.808	2102.677	207.190	602.796	2158.924	233.179	10.531	374.877	48.794	574.431	10.297	48.731	209.434	10.348	48.989	9.881	9.854	48.860
3552	35.51000	547.249	2193.425	205.459	618.167	2119.313	192.878	625.303	2193.288	191.430	567.766	2102.678	207.179	602.808	2158.890	233.137	10.497	374.848	48.770	574.446	10.288	48.679	209.468	10.359	48.909	9.887	9.860	48.871
3553	35.52000	547.270	2193.422	205.481	618.170	2119.313	192.855	625.259	2193.349	191.472	567.779	2102.701	207.258	602.728	2158.892	233.184	10.531	374.954	48.758	574.508	10.305	48.748	209.470	10.302	48.895	9.858	9.829	48.881
3554	35.53000	547.253	2193.418	205.521	618.204	2119.312	192.860	625.254	2193.324	191.496	567.787	2102.669	207.257	602.784	2158.902	233.213	10.531	374.885	48.800	574.462	10.318	48.768	209.480	10.346	48.893	9.885	9.844	48.855
3555	35.54000	547.256	2193.414	205.433	618.225	2119.366	192.994	625.268	2193.341	191.488	567.820	2102.667	207.220	602.729	2158.878	233.160	10.515	374.922	48.852	574.452	10.295	48.750	209.460	10.378	48.939	9.880	9.848	48.866
3556	35.55000	547.278	2193.457	205.482	618.203	2119.336	192.903	625.284	2193.324	191.493	567.831	2102.665	207.205	602.836	2158.958	233.239	10.524	374.937	48.812	574.454	10.310	48.787	209.485	10.348	48.948	9.888	9.868	48.885
3557	35.56000	547.260	2193.376	205.563	618.263	2119.342	192.946	625.293	2193.338	191.515	567.827	2102.665	207.255	602.759	2158.888	233.178	10.549	374.895	48.823	574.466	10.276	48.768	209.491	10.331	48.915	9.869	9.856	48.880
3558	35.57000	547.268	2193.419	205.578	618.266	2119.348	192.943	625.311	2193.339	191.522	567.880	2102.710	207.355	602.755	2158.921	233.222	10.542	374.881	48.810	574.441	10.284	48.750	209.447	10.321	48.936	9.873	9.856	48.873
3559	35.58000	547.257	2193.393	205.509	618.198	2119.332	192.898	625.252	2193.322	191.483	567.863	2102.598	207.228	602.719	2158.884	233.151	10.534	374.894	48.750	574.455	10.273	48.744	209.440	10.294	48.921	9.860	9.833	48.873
3560	35.59000	547.203	2193.338	205.481	618.201	2119.340	192.882	625.227	2193.295	191.430	567.784	2102.671	207.239	602.761	2158.929	233.175	10.513	374.908	48.734	574.397	10.288	48.714	209.480	10.332	48.910	9.880	9.837	48.840
3561	35.60000	547.211	2193.384	205.468	618.184	2119.318	192.859	625.243	2193.354	191.450	567.770	2102.663	207.228	602.680	2158.861	233.128	10.527	374.893	48.772	574.389	10.276	48.705	209.501	10.288	48.914	9.890	9.856	48.862
3562	35.61000	547.197	2193.439	205.467	618.182	2119.319	192.882	625.236	2193.326	191.481	567.855	2102.623	207.209	602.720	2158.843	233.177	10.534	374.900	48.799	574.410	10.308	48.719	209.432	10.303	48.923	9.850	9.829	48.865
