NO_OF_FRAMES	5019
NO_OF_CAMERAS	12
NO_OF_MARKERS	9
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-03-02, 12:21:16.174	703881.88170780
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5	Origin - 1	Origin - 2	Origin - 3	Origin - 4
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	Origin - 1 X	Origin - 1 Y	Origin - 1 Z	Origin - 2 X	Origin - 2 Y	Origin - 2 Z	Origin - 3 X	Origin - 3 Y	Origin - 3 Z	Origin - 4 X	Origin - 4 Y	Origin - 4 Z	
1016	10.15000	1032.010	3892.688	200.928	1073.705	3810.114	202.985	1118.355	3838.552	188.763	1109.418	3912.084	185.084	1095.298	3873.278	228.018	209.497	10.257	49.091	10.622	375.018	48.923	10.025	9.887	49.021	574.477	10.026	48.984
1017	10.16000	1031.888	3892.942	200.935	1073.818	3810.160	203.256	1118.357	3838.558	188.908	1109.374	3912.027	185.262	1095.377	3873.408	228.123	209.544	10.263	49.090	10.663	375.038	48.890	10.024	9.880	48.965	574.471	10.020	49.025
1018	10.17000	1031.963	3892.969	200.912	1073.803	3810.245	203.197	1118.394	3838.575	189.000	1109.109	3912.067	185.202	1095.332	3873.316	228.115	209.490	10.230	49.021	10.654	374.995	48.868	10.026	9.880	48.946	574.523	9.974	48.984
1019	10.18000	1031.783	3892.943	200.856	1073.661	3810.214	203.146	1118.240	3838.600	188.993	1108.836	3912.069	185.236	1095.057	3873.206	228.018	209.434	10.185	49.011	10.629	374.936	48.854	10.001	9.857	48.923	574.427	9.947	48.954
1020	10.19000	1031.658	3892.878	200.733	1073.216	3810.206	202.783	1117.966	3838.597	188.760	1108.565	3912.067	185.463	1095.024	3873.236	227.928	209.482	10.180	48.989	10.615	374.913	48.892	9.946	9.840	48.942	574.443	9.930	48.951
1021	10.20000	1031.625	3892.859	201.032	1072.998	3810.323	202.911	1117.696	3838.636	188.594	1108.729	3912.081	184.933	1094.862	3873.342	227.904	209.471	10.214	48.990	10.586	374.922	48.828	10.001	9.823	48.934	574.489	9.922	48.957
1022	10.21000	1031.336	3892.989	200.965	1072.901	3810.425	202.937	1117.533	3838.675	188.578	1108.196	3912.083	185.263	1094.860	3873.559	227.806	209.450	10.198	49.012	10.629	374.943	48.916	10.030	9.833	48.974	574.467	9.963	48.983
1023	10.22000	1031.449	3893.020	200.681	1072.647	3810.408	202.758	1117.860	3838.839	188.564	1107.724	3912.094	185.758	1094.499	3873.348	227.797	209.516	10.200	49.050	10.664	374.980	48.871	9.982	9.825	48.952	574.489	9.969	48.945
1024	10.23000	1031.279	3892.962	200.748	1072.757	3810.383	202.762	1117.305	3838.751	188.567	1108.421	3912.257	185.156	1094.477	3873.339	227.900	209.482	10.226	49.021	10.638	374.974	48.884	10.025	9.864	48.987	574.493	9.961	48.939
1025	10.24000	1031.216	3893.096	200.680	1072.822	3810.445	202.976	1118.082	3838.967	188.947	1107.528	3912.280	185.745	1094.168	3873.580	228.085	209.489	10.255	49.076	10.622	374.982	48.882	10.004	9.854	48.991	574.497	9.990	48.977
1026	10.25000	1031.336	3893.099	200.966	1072.893	3810.540	203.235	1117.634	3838.930	188.755	1108.003	3912.296	185.419	1094.292	3873.654	228.404	209.486	10.261	49.005	10.662	375.014	48.899	9.975	9.877	48.943	574.489	9.953	48.955
1027	10.26000	1031.127	3893.099	201.224	1072.989	3810.545	203.277	1117.634	3838.924	188.892	1108.250	3912.253	185.472	1094.373	3873.614	228.013	209.497	10.215	48.997	10.639	374.929	48.840	9.975	9.840	48.970	574.468	9.945	48.907
1028	10.27000	1030.810	3893.139	200.946	1072.718	3810.491	203.027	1117.503	3838.960	188.870	1107.402	3912.335	186.020	1094.063	3873.485	228.146	209.475	10.232	49.007	10.593	374.913	48.857	9.980	9.859	48.943	574.463	9.951	48.948
1029	10.28000	1030.779	3893.046	200.748	1072.456	3810.457	202.863	1117.595	3838.958	188.769	1107.152	3912.267	185.966	1093.863	3873.498	228.133	209.506	10.202	49.043	10.644	374.928	48.843	9.997	9.827	48.950	574.473	9.927	48.986
1030	10.29000	1030.700	3893.240	200.574	1072.380	3810.566	202.990	1116.831	3838.962	188.695	1107.708	3912.367	185.245	1093.636	3873.655	227.954	209.525	10.252	48.965	10.649	374.937	48.921	9.995	9.870	48.958	574.506	9.990	48.985
1031	10.30000	1030.593	3893.185	200.784	1072.122	3810.636	203.058	1117.169	3839.013	188.666	1106.905	3912.277	185.770	1093.672	3873.789	227.928	209.517	10.227	49.040	10.634	374.978	48.902	9.992	9.883	48.990	574.537	10.009	49.012
1032	10.31000	1030.343	3893.038	200.749	1072.066	3810.556	202.980	1116.408	3838.947	188.449	1107.335	3912.274	185.111	1093.707	3873.688	227.970	209.541	10.272	49.021	10.655	375.036	48.943	9.978	9.878	49.000	574.489	10.032	49.006
1033	10.32000	1029.981	3893.117	200.828	1072.088	3810.570	202.945	1116.388	3839.026	188.455	1107.427	3912.477	184.945	1093.569	3873.547	227.889	209.494	10.227	49.037	10.646	374.947	48.874	10.014	9.876	48.984	574.480	9.989	48.979
1034	10.33000	1030.159	3893.187	200.401	1071.743	3810.633	202.814	1116.468	3839.002	188.611	1107.296	3912.450	185.056	1093.075	3873.611	227.864	209.510	10.199	49.028	10.615	374.951	48.821	10.000	9.855	48.972	574.505	9.936	48.976
1035	10.34000	1029.865	3893.295	200.530	1072.023	3810.707	203.164	1116.490	3839.062	188.762	1107.536	3912.546	184.888	1093.080	3873.827	227.961	209.513	10.200	49.026	10.602	374.958	48.865	9.977	9.804	48.928	574.485	9.938	48.957
1036	10.35000	1029.766	3893.425	200.666	1071.752	3810.797	203.235	1116.338	3839.093	189.009	1107.527	3912.570	185.089	1093.046	3873.960	228.205	209.476	10.226	49.032	10.626	374.966	48.877	9.988	9.860	48.973	574.500	9.955	48.957
1037	10.36000	1029.632	3893.324	201.093	1071.838	3810.749	203.252	1116.287	3839.090	188.927	1107.457	3912.728	185.132	1093.136	3873.840	228.238	209.510	10.225	49.040	10.619	374.965	48.891	10.037	9.919	48.972	574.474	9.960	48.948
1038	10.37000	1029.575	3893.186	201.364	1071.761	3810.718	203.045	1116.276	3839.160	188.849	1107.373	3912.593	185.276	1093.106	3873.652	228.196	209.480	10.255	49.091	10.655	374.971	48.916	10.003	9.888	49.007	574.523	9.920	48.946
1039	10.38000	1029.150	3893.434	200.726	1071.285	3810.843	203.058	1115.790	3839.159	188.753	1107.378	3912.735	184.887	1092.749	3874.045	227.930	209.512	10.286	49.032	10.658	374.958	48.894	9.994	9.908	48.951	574.519	10.002	48.974
1040	10.39000	1029.192	3893.493	200.461	1071.070	3810.898	203.046	1115.858	3839.258	188.765	1105.981	3912.602	185.512	1092.371	3874.132	227.948	209.505	10.243	48.992	10.625	374.941	48.853	9.997	9.875	48.907	574.505	9.977	48.931
1041	10.40000	1028.960	3893.352	200.534	1070.631	3810.914	202.704	1115.369	3839.215	188.505	1106.867	3912.673	184.771	1092.452	3873.874	227.747	209.467	10.193	48.979	10.616	374.946	48.817	9.960	9.852	48.949	574.473	9.930	48.921
1042	10.41000	1028.815	3893.460	200.604	1070.612	3810.895	202.706	1115.245	3839.226	188.569	1106.494	3912.637	184.949	1092.342	3873.981	227.957	209.529	10.241	48.999	10.627	374.923	48.853	10.006	9.886	48.975	574.504	9.955	48.948
1043	10.42000	1028.790	3893.504	200.647	1070.638	3810.922	202.871	1115.382	3839.322	188.650	1105.603	3912.565	185.958	1092.266	3874.039	228.046	209.508	10.214	49.049	10.636	374.965	48.859	10.029	9.834	48.963	574.473	9.967	48.954
1044	10.43000	1028.709	3893.415	200.937	1070.736	3810.922	203.032	1115.143	3839.293	188.736	1106.618	3912.756	184.978	1092.251	3874.034	228.007	209.535	10.217	49.111	10.611	374.925	48.929	9.997	9.816	48.994	574.500	9.962	48.963
1045	10.44000	1028.548	3893.637	201.201	1070.751	3811.041	203.191	1115.019	3839.340	188.865	1106.817	3912.951	185.087	1092.229	3874.117	228.164	209.526	10.232	49.049	10.658	374.959	48.895	10.064	9.853	48.963	574.542	9.954	48.991
1046	10.45000	1028.457	3893.689	201.261	1070.521	3811.037	203.239	1114.924	3839.368	188.999	1106.816	3913.016	185.061	1092.077	3874.207	228.122	209.493	10.265	49.051	10.629	374.954	48.861	10.043	9.895	48.984	574.549	10.000	48.961
1047	10.46000	1028.441	3893.733	201.100	1070.484	3810.992	203.151	1114.662	3839.342	188.874	1106.521	3912.855	185.131	1091.704	3874.007	228.345	209.468	10.218	49.037	10.655	374.967	48.848	10.021	9.867	48.964	574.472	9.977	48.954
1048	10.47000	1028.144	3893.747	201.046	1070.156	3811.038	203.049	1114.407	3839.401	188.955	1105.317	3912.917	185.784	1091.750	3874.192	228.234	209.457	10.253	49.030	10.645	375.001	48.887	9.992	9.863	48.977	574.469	9.983	48.950
