NO_OF_FRAMES	1863
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 11:28:35.207	1213728.58984590
DATA_INCLUDED	3D
MARKER_NAMES	Drone - 1	Drone - 2	Drone - 3	Drone - 4	Drone - 5
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Drone - 1 X	Drone - 1 Y	Drone - 1 Z	Drone - 2 X	Drone - 2 Y	Drone - 2 Z	Drone - 3 X	Drone - 3 Y	Drone - 3 Z	Drone - 4 X	Drone - 4 Y	Drone - 4 Z	Drone - 5 X	Drone - 5 Y	Drone - 5 Z	
3642	36.41000	-221.385	-739.414	974.782	-261.148	-676.610	975.103	-159.442	-691.327	988.675	-210.526	-633.987	988.905	-224.844	-699.591	1016.307
3643	36.42000	-221.305	-739.684	974.546	-261.140	-676.863	974.796	-159.244	-691.779	988.576	-210.625	-634.275	988.710	-224.751	-699.853	1016.230
3644	36.43000	-221.206	-740.083	974.485	-261.144	-677.310	974.912	-159.220	-692.129	988.415	-210.562	-634.674	988.867	-224.867	-700.241	1016.229
3645	36.44000	-221.349	-740.415	974.220	-261.115	-677.606	974.866	-159.319	-692.351	988.384	-210.567	-635.022	988.780	-224.649	-700.717	1016.138
3646	36.45000	-221.251	-740.763	974.208	-261.129	-677.873	974.794	-159.438	-692.602	988.549	-210.329	-635.401	988.401	-224.577	-700.976	1015.935
3647	36.46000	-221.152	-741.058	974.272	-261.060	-678.187	974.777	-159.120	-692.693	988.409	-210.294	-635.478	987.769	-224.565	-701.002	1015.996
3648	36.47000	-221.164	-741.194	974.154	-261.072	-678.360	974.555	-158.963	-693.114	988.093	-210.577	-635.838	988.037	-224.402	-701.369	1015.697
3649	36.48000	-221.077	-741.554	974.076	-261.070	-678.806	974.644	-159.159	-693.431	987.893	-210.568	-636.125	988.076	-224.750	-701.662	1015.793
3650	36.49000	-221.216	-741.823	974.076	-261.061	-679.009	974.570	-158.896	-693.608	987.749	-210.548	-636.414	987.940	-224.548	-701.959	1015.744
3651	36.50000	-221.247	-742.081	974.094	-261.025	-679.429	974.382	-159.210	-694.041	987.744	-210.373	-636.796	987.312	-224.516	-702.169	1015.576
3652	36.51000	-221.267	-742.312	974.088	-261.059	-679.641	974.370	-159.204	-694.306	987.663	-210.387	-636.904	987.062	-224.639	-702.123	1015.518
3653	36.52000	-221.219	-742.559	974.027	-261.031	-679.847	974.324	-159.256	-694.461	987.642	-210.502	-637.123	987.109	-224.436	-702.456	1015.442
3654	36.53000	-221.142	-742.762	973.982	-261.061	-680.173	974.201	-159.222	-694.631	987.509	-210.607	-637.331	987.030	-224.582	-702.677	1015.395
3655	36.54000	-221.272	-743.017	973.896	-261.168	-680.331	974.272	-159.251	-695.055	987.255	-210.594	-637.651	987.017	-224.668	-702.898	1015.346
3656	36.55000	-221.350	-743.272	973.978	-261.215	-680.456	974.165	-159.209	-695.207	987.120	-210.635	-637.776	986.922	-224.591	-703.165	1015.278
3657	36.56000	-221.426	-743.383	973.882	-261.223	-680.646	973.966	-159.196	-695.429	986.898	-210.545	-638.011	986.832	-224.599	-703.284	1015.211
3658	36.57000	-221.359	-743.703	973.922	-261.306	-680.853	974.024	-159.399	-695.600	986.921	-210.568	-638.181	986.658	-224.553	-703.356	1015.162
3659	36.58000	-221.389	-743.914	973.841	-261.388	-681.038	973.865	-159.503	-695.721	986.922	-210.736	-638.394	986.649	-224.574	-703.747	1015.078
3660	36.59000	-221.315	-744.123	973.839	-261.416	-681.300	973.751	-159.238	-695.773	986.696	-210.747	-638.636	986.661	-224.687	-703.889	1015.036
3661	36.60000	-221.482	-744.211	973.945	-261.459	-681.433	973.599	-159.161	-695.889	986.512	-210.889	-638.675	986.487	-224.875	-703.920	1015.029
3662	36.61000	-221.553	-744.434	973.903	-261.529	-681.633	973.499	-159.464	-696.216	986.516	-210.907	-638.861	986.479	-224.786	-703.917	1014.977
3663	36.62000	-221.629	-744.452	973.838	-261.596	-681.824	973.617	-159.488	-696.080	986.446	-210.883	-638.964	986.368	-224.896	-704.053	1014.951
3664	36.63000	-221.701	-744.705	973.803	-261.660	-681.890	973.510	-159.573	-696.275	986.511	-210.929	-639.128	986.366	-224.838	-704.314	1014.966
3665	36.64000	-221.907	-744.708	973.723	-261.824	-682.023	973.431	-159.749	-696.301	986.455	-211.000	-639.281	986.284	-224.829	-704.390	1014.901
3666	36.65000	-221.903	-744.866	973.850	-261.907	-682.112	973.507	-159.711	-696.360	986.292	-211.164	-639.199	985.968	-225.230	-704.172	1014.902
3667	36.66000	-222.087	-744.934	973.878	-262.072	-682.064	973.287	-159.759	-696.431	986.183	-211.351	-639.279	985.992	-225.203	-704.343	1014.839
3668	36.67000	-222.185	-744.906	973.741	-262.144	-682.216	973.324	-159.856	-696.570	986.250	-211.379	-639.397	986.121	-225.389	-704.450	1014.803
3669	36.68000	-222.361	-745.023	973.746	-262.278	-682.172	973.406	-160.070	-696.587	986.246	-211.516	-639.380	986.066	-225.433	-704.622	1014.832
3670	36.69000	-222.640	-745.059	973.840	-262.425	-682.207	973.197	-160.252	-696.519	986.165	-211.487	-639.486	985.892	-225.523	-704.542	1014.685
3671	36.70000	-222.717	-745.048	973.836	-262.550	-682.322	973.256	-160.401	-696.614	986.340	-211.597	-639.455	985.477	-225.735	-704.287	1014.788
3672	36.71000	-222.822	-745.040	973.906	-262.623	-682.171	973.122	-160.527	-696.584	986.231	-211.919	-639.307	985.581	-225.777	-704.331	1014.707
3673	36.72000	-222.819	-744.978	973.810	-262.822	-682.236	973.179	-160.558	-696.599	986.054	-212.129	-639.349	985.760	-226.107	-704.323	1014.693
3674	36.73000	-223.105	-745.010	973.754	-262.936	-682.203	973.169	-160.699	-696.565	986.022	-212.190	-639.359	985.605	-226.179	-704.383	1014.709
3675	36.74000	-223.280	-744.947	973.840	-263.028	-682.153	973.198	-160.944	-696.384	986.008	-212.290	-639.295	985.663	-226.147	-704.263	1014.641
3676	36.75000	-223.408	-744.940	973.892	-263.222	-682.079	973.156	-161.063	-696.403	986.037	-212.375	-639.225	985.287	-226.373	-704.027	1014.619
3677	36.76000	-223.560	-744.809	973.845	-263.388	-682.006	973.116	-161.184	-696.365	986.040	-212.584	-639.147	985.307	-226.551	-703.958	1014.573
3678	36.77000	-223.712	-744.717	973.820	-263.541	-681.918	972.999	-161.288	-696.186	985.926	-212.812	-639.094	985.395	-226.802	-703.923	1014.544
3679	36.78000	-223.880	-744.651	973.815	-263.647	-681.715	973.104	-161.436	-696.180	985.969	-212.981	-638.956	985.420	-226.883	-703.908	1014.590
3680	36.79000	-224.083	-744.501	973.866	-263.863	-681.483	973.076	-161.624	-696.099	985.939	-212.997	-638.816	985.252	-227.016	-703.591	1014.615
3681	36.80000	-224.251	-744.261	973.854	-263.990	-681.304	973.128	-161.745	-695.851	985.925	-213.108	-638.647	985.256	-227.127	-703.412	1014.618
3682	36.81000	-224.422	-744.113	973.823	-264.178	-681.157	973.119	-161.881	-695.743	985.751	-213.342	-638.516	985.169	-227.306	-703.270	1014.519
3683	36.82000	-224.559	-743.986	973.706	-264.304	-681.061	973.194	-162.123	-695.760	985.909	-213.531	-638.323	985.201	-227.519	-703.205	1014.486
3684	36.83000	-224.750	-743.827	973.714	-264.468	-680.918	973.175	-162.250	-695.524	985.825	-213.670	-638.241	985.345	-227.606	-703.120	1014.523
3685	36.84000	-224.959	-743.475	973.688	-264.533	-680.724	973.092	-162.288	-695.228	985.742	-213.666	-638.009	985.285	-227.847	-702.634	1014.518
3686	36.85000	-225.093	-743.261	973.837	-264.658	-680.478	973.092	-162.486	-695.086	985.826	-213.828	-637.735	985.274	-227.893	-702.426	1014.568
3687	36.86000	-225.190	-742.963	973.665	-264.839	-680.288	973.144	-162.688	-694.904	985.836	-214.013	-637.649	985.856	-227.978	-702.419	1014.506
3688	36.87000	-225.311	-742.859	973.509	-265.049	-680.109	973.496	-162.756	-694.667	985.769	-214.266	-637.279	985.744	-228.221	-702.185	1014.519
3689	36.88000	-225.538	-742.562	973.729	-265.089	-679.799	973.486	-163.004	-694.433	985.794	-214.248	-637.128	985.594	-228.197	-702.057	1014.547
3690	36.89000	-225.483	-742.385	973.728	-265.199	-679.480	973.468	-163.143	-694.045	985.810	-214.117	-636.825	985.250	-228.242	-701.579	1014.555
3691	36.90000	-225.602	-742.039	973.818	-265.274	-679.233	973.329	-163.147	-693.794	985.848	-214.328	-636.457	985.350	-228.371	-701.261	1014.570
