NO_OF_FRAMES	1617
NO_OF_CAMERAS	8
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-11, 15:26:18.257	1141584.09130630
DATA_INCLUDED	6D
BODY_NAMES	Drone
BODY_FILTERS	No filter
TRANSLATION_ORIGIN	Global	
ROTATION_ORIGIN	Global	
Frame	Time	Drone X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
778	7.77000	-82.58455	94.93589	1202.80305	2.44083	5.65091	3.49114	0.67150	0.99329	0.06502	-0.09560	-0.06060	0.99698	0.04850	0.09847	-0.04238	0.99424	
779	7.78000	-81.51550	96.35363	1203.18840	2.35158	5.60988	3.43939	0.62656	0.99342	0.06395	-0.09503	-0.05971	0.99712	0.04682	0.09775	-0.04083	0.99437	
780	7.79000	-80.41688	97.91698	1203.64286	2.34363	5.45240	3.28746	0.56606	0.99384	0.06118	-0.09244	-0.05709	0.99730	0.04627	0.09502	-0.04071	0.99464	
781	7.80000	-79.34501	99.69959	1204.02464	2.27656	5.46265	3.24733	0.62413	0.99386	0.06038	-0.09272	-0.05639	0.99739	0.04505	0.09520	-0.03954	0.99467	
782	7.81000	-78.23856	101.64382	1204.39269	2.12588	5.23873	3.15256	0.71211	0.99432	0.05834	-0.08906	-0.05477	0.99761	0.04206	0.09131	-0.03694	0.99514	
783	7.82000	-77.12429	103.52787	1204.81875	2.02984	5.20255	3.13493	0.66338	0.99439	0.05786	-0.08855	-0.05446	0.99770	0.04032	0.09068	-0.03527	0.99526	
784	7.83000	-75.94711	105.67646	1205.17100	1.89883	5.02152	3.00810	0.70102	0.99479	0.05534	-0.08562	-0.05228	0.99792	0.03768	0.08753	-0.03301	0.99561	
785	7.84000	-74.75797	107.85705	1205.48940	1.73284	4.85707	2.95928	0.70085	0.99508	0.05416	-0.08296	-0.05144	0.99808	0.03457	0.08467	-0.03013	0.99595	
786	7.85000	-73.47473	110.28385	1205.77576	1.59778	4.66488	2.96016	0.70808	0.99536	0.05389	-0.07975	-0.05147	0.99816	0.03204	0.08133	-0.02779	0.99630	
787	7.86000	-72.14277	112.63986	1206.09774	1.40593	4.51835	2.90803	0.60776	0.99561	0.05265	-0.07741	-0.05058	0.99831	0.02850	0.07878	-0.02446	0.99659	
788	7.87000	-70.62103	115.28517	1206.32953	1.14676	4.50273	3.01164	0.62065	0.99554	0.05410	-0.07733	-0.05238	0.99834	0.02411	0.07851	-0.01995	0.99671	
789	7.88000	-68.99296	118.15999	1206.50367	0.88932	4.26309	2.91618	0.66084	0.99594	0.05202	-0.07344	-0.05073	0.99853	0.01928	0.07434	-0.01548	0.99711	
790	7.89000	-67.27081	121.12663	1206.62457	0.64926	4.20893	2.94798	0.66089	0.99598	0.05226	-0.07271	-0.05129	0.99857	0.01509	0.07339	-0.01130	0.99724	
791	7.90000	-65.39998	124.13934	1206.70999	0.30050	4.19174	3.07393	0.60549	0.99589	0.05401	-0.07271	-0.05348	0.99853	0.00916	0.07309	-0.00523	0.99731	
792	7.91000	-63.40678	127.28524	1206.74984	-0.09948	4.15556	3.17864	0.62932	0.99584	0.05532	-0.07245	-0.05530	0.99847	0.00228	0.07246	0.00173	0.99737	
793	7.92000	-61.32035	130.57347	1206.73547	-0.30226	4.05006	3.24474	0.62736	0.99590	0.05623	-0.07081	-0.05646	0.99840	-0.00127	0.07063	0.00526	0.99749	
794	7.93000	-59.13643	134.11667	1206.66318	-0.61908	3.90298	3.23150	0.70156	0.99609	0.05563	-0.06856	-0.05624	0.99839	-0.00695	0.06807	0.01078	0.99762	
795	7.94000	-56.85381	137.52596	1206.62432	-0.99474	3.98622	3.28042	0.62897	0.99595	0.05601	-0.07039	-0.05708	0.99828	-0.01335	0.06952	0.01732	0.99743	
796	7.95000	-54.44108	141.09279	1206.52707	-1.19502	3.87401	3.46369	0.59577	0.99589	0.05900	-0.06868	-0.06028	0.99804	-0.01674	0.06756	0.02081	0.99750	
797	7.96000	-52.04921	144.78113	1206.49447	-1.62260	3.84164	3.49987	0.61570	0.99589	0.05913	-0.06858	-0.06091	0.99785	-0.02417	0.06700	0.02825	0.99735	
798	7.97000	-49.46396	148.62849	1206.47326	-1.91789	3.80251	3.59974	0.64730	0.99583	0.06054	-0.06825	-0.06265	0.99761	-0.02924	0.06632	0.03339	0.99724	
799	7.98000	-46.91359	152.34654	1206.45957	-2.22117	3.87115	3.70254	0.63580	0.99564	0.06192	-0.06982	-0.06443	0.99733	-0.03432	0.06751	0.03867	0.99697	
800	7.99000	-44.25598	156.24392	1206.31861	-2.67116	3.91578	3.79389	0.65012	0.99548	0.06292	-0.07115	-0.06601	0.99693	-0.04199	0.06829	0.04649	0.99658	
801	8.00000	-41.58540	160.24714	1206.41293	-2.83311	3.81139	3.91174	0.64697	0.99546	0.06486	-0.06961	-0.06807	0.99668	-0.04478	0.06647	0.04932	0.99657	
802	8.01000	-38.86103	164.27934	1206.41252	-3.02099	3.73827	4.01882	0.64513	0.99542	0.06656	-0.06864	-0.06993	0.99640	-0.04801	0.06520	0.05259	0.99649	
803	8.02000	-36.12005	168.36658	1206.44413	-3.38093	3.75769	3.99702	0.65375	0.99542	0.06573	-0.06937	-0.06955	0.99610	-0.05427	0.06554	0.05885	0.99611	
804	8.03000	-33.37245	172.52929	1206.48037	-3.61841	3.73476	4.10280	0.61831	0.99532	0.06730	-0.06936	-0.07139	0.99574	-0.05830	0.06514	0.06298	0.99589	
805	8.04000	-30.52679	176.82563	1206.64985	-3.89676	3.76093	4.14819	0.62223	0.99523	0.06772	-0.07019	-0.07218	0.99540	-0.06305	0.06559	0.06781	0.99554	
806	8.05000	-27.73673	181.15911	1206.79913	-4.02843	3.80689	4.23149	0.62519	0.99507	0.06895	-0.07123	-0.07362	0.99515	-0.06517	0.06639	0.07010	0.99533	
807	8.06000	-24.95767	185.53921	1207.05515	-4.30282	3.76648	4.27319	0.63215	0.99507	0.06939	-0.07091	-0.07435	0.99478	-0.06994	0.06569	0.07487	0.99503	
808	8.07000	-22.13828	190.00559	1207.29369	-4.55175	3.75877	4.35633	0.60986	0.99497	0.07053	-0.07119	-0.07580	0.99436	-0.07417	0.06556	0.07919	0.99470	
809	8.08000	-19.32118	194.61516	1207.56423	-4.75969	3.64072	4.38769	0.61314	0.99506	0.07099	-0.06944	-0.07635	0.99403	-0.07789	0.06350	0.08281	0.99454	
