NO_OF_FRAMES	6000
NO_OF_CAMERAS	8
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-08-12, 14:06:56.892	1223230.27508510
DATA_INCLUDED	3D
MARKER_NAMES	DroneElCapitan - 1	DroneElCapitan - 2	DroneElCapitan - 3	DroneElCapitan - 4	DroneElCapitan - 5
TRAJECTORY_TYPES	Mixed	Mixed	Mixed	Mixed	Mixed
Frame	Time	DroneElCapitan - 1 X	DroneElCapitan - 1 Y	DroneElCapitan - 1 Z	DroneElCapitan - 2 X	DroneElCapitan - 2 Y	DroneElCapitan - 2 Z	DroneElCapitan - 3 X	DroneElCapitan - 3 Y	DroneElCapitan - 3 Z	DroneElCapitan - 4 X	DroneElCapitan - 4 Y	DroneElCapitan - 4 Z	DroneElCapitan - 5 X	DroneElCapitan - 5 Y	DroneElCapitan - 5 Z	
61	0.60000	785.494	-377.469	68.055	37.641	467.790	67.506	810.708	402.520	73.976	743.232	-329.733	70.755	-5.790	-316.395	71.989
62	0.61000	785.485	-377.463	68.042	37.671	467.787	67.499	810.761	402.421	73.855	743.250	-329.758	70.742	-5.745	-316.445	72.021
63	0.62000	785.473	-377.471	68.030	37.669	467.793	67.489	810.691	402.523	73.903	743.244	-329.741	70.750	-5.786	-316.384	72.004
64	0.63000	785.483	-377.418	68.116	37.674	467.816	67.571	810.691	402.560	73.990	743.247	-329.696	70.796	-5.764	-316.366	72.067
65	0.64000	785.494	-377.389	68.071	37.709	467.844	67.566	810.672	402.550	73.967	743.224	-329.712	70.797	-5.745	-316.382	72.084
66	0.65000	785.480	-377.440	68.054	37.694	467.792	67.497	810.686	402.532	73.930	743.242	-329.743	70.746	-5.800	-316.386	71.961
67	0.66000	785.454	-377.413	68.061	37.645	467.768	67.499	810.661	402.547	73.976	743.232	-329.697	70.772	-5.776	-316.398	72.012
68	0.67000	785.508	-377.376	68.143	37.657	467.868	67.586	810.658	402.551	73.948	743.240	-329.688	70.838	-5.783	-316.277	72.116
69	0.68000	785.517	-377.370	68.094	37.663	467.877	67.531	810.669	402.593	73.953	743.249	-329.728	70.799	-5.768	-316.366	72.044
70	0.69000	785.488	-377.479	68.045	37.657	467.820	67.494	810.710	402.541	73.913	743.223	-329.770	70.741	-5.775	-316.381	71.978
71	0.70000	785.459	-377.425	68.037	37.634	467.817	67.503	810.714	402.558	73.942	743.233	-329.750	70.751	-5.785	-316.395	71.998
72	0.71000	785.483	-377.414	68.059	37.697	467.795	67.530	810.686	402.570	73.964	743.234	-329.711	70.766	-5.773	-316.405	72.005
73	0.72000	785.500	-377.454	68.050	37.652	467.805	67.480	810.701	402.484	73.922	743.241	-329.745	70.751	-5.756	-316.411	71.991
74	0.73000	785.475	-377.421	68.048	37.626	467.782	67.487	810.680	402.513	73.941	743.254	-329.751	70.754	-5.770	-316.422	72.017
75	0.74000	785.476	-377.406	68.131	37.663	467.848	67.571	810.668	402.528	73.978	743.240	-329.696	70.823	-5.770	-316.340	72.054
76	0.75000	785.477	-377.372	68.130	37.668	467.872	67.588	810.677	402.590	73.993	743.247	-329.676	70.802	-5.774	-316.325	72.066
77	0.76000	785.473	-377.452	68.055	37.694	467.838	67.505	810.669	402.572	73.902	743.205	-329.703	70.753	-5.769	-316.400	71.978
78	0.77000	785.465	-377.475	68.040	37.642	467.788	67.515	810.700	402.529	73.919	743.246	-329.736	70.754	-5.776	-316.378	72.011
79	0.78000	785.473	-377.468	68.048	37.684	467.826	67.505	810.679	402.559	73.970	743.253	-329.741	70.774	-5.773	-316.399	72.011
80	0.79000	785.444	-377.459	68.047	37.714	467.775	67.572	810.707	402.522	73.952	743.259	-329.709	70.788	-5.780	-316.400	72.026
